

Fri Aug  4 10:53:20.590 PDT
Syslog logging: enabled (0 messages dropped, 0 flushes, 0 overruns)
    Console logging: level warnings, 282 messages logged
    Monitor logging: level informational, 0 messages logged
    Trap logging: level informational, 0 messages logged
    Buffer logging: level debugging, 72 messages logged

Log Buffer (2097152 bytes):

RP/0/RP0/CPU0:Aug  4 10:14:38.720 : SSHD_[67479]: %SECURITY-SSHD-6-INFO_USER_LOGOUT : User 'admin' from '10.200.96.148' logged out on 'vty0' 
RP/0/RP0/CPU0:Aug  4 10:22:04.843 : SSHD_[67675]: %SECURITY-SSHD-6-INFO_SUCCESS_COMMAND : Successfully authenticated user 'admin' from '10.200.96.148' on 'vty0'(cipher 'aes128-ctr', mac 'hmac-sha2-256', command 'show logging') 
RP/0/RP0/CPU0:Aug  4 10:22:05.296 : SSHD_[67675]: %SECURITY-SSHD-6-INFO_USER_LOGOUT : User 'admin' from '10.200.96.148' logged out on 'vty0' 
RP/0/RP0/CPU0:Aug  4 10:24:44.110 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.25.57 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65026) 
RP/0/RP0/CPU0:Aug  4 10:25:14.086 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.25.57 Up (VRF: default) (AS: 65026) 
RP/0/RP0/CPU0:Aug  4 10:29:44.186 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.34 Down - Peer closing down the session (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 10:29:44.186 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.32 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 10:29:44.187 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.38 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 10:29:44.188 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.36 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 10:29:44.198 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1232 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 10:29:44.198 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1234 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 10:29:44.199 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1236 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 10:29:44.200 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1238 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 10:30:13.958 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.38 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 10:30:15.011 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.36 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 10:30:15.341 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1238 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 10:30:23.759 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1234 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 10:30:24.493 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.34 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 10:30:24.772 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1236 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 10:30:28.064 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1232 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 10:30:36.475 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.32 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 10:39:44.183 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.32 Down - Peer closing down the session (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Aug  4 10:39:44.183 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.34 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Aug  4 10:39:44.185 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.38 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Aug  4 10:39:44.185 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.36 Down - Peer closing down the session (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Aug  4 10:39:44.196 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1134 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Aug  4 10:39:44.196 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1132 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Aug  4 10:39:44.196 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1138 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Aug  4 10:39:44.197 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1136 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Aug  4 10:40:15.762 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.32 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Aug  4 10:40:17.467 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1134 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Aug  4 10:40:20.971 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.36 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Aug  4 10:40:24.453 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.38 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Aug  4 10:40:25.292 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.34 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Aug  4 10:40:29.420 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1138 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Aug  4 10:40:29.617 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.32 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 10:40:29.618 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.34 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 10:40:29.619 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.38 Down - Peer closing down the session (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 10:40:29.619 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.36 Down - Peer closing down the session (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 10:40:29.629 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1232 Down - Peer closing down the session (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 10:40:29.629 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1234 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 10:40:29.631 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1236 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 10:40:29.632 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1238 Down - Peer closing down the session (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 10:40:32.056 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1132 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Aug  4 10:40:35.539 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1136 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Aug  4 10:40:58.423 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.36 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 10:40:58.606 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1236 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 10:41:00.774 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1234 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 10:41:01.894 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.38 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 10:41:02.872 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.34 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 10:41:03.496 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1238 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 10:41:06.337 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.32 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 10:41:20.689 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1232 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 10:41:32.383 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.32 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Aug  4 10:41:32.383 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.34 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Aug  4 10:41:32.383 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.36 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Aug  4 10:41:32.384 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.38 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Aug  4 10:41:32.408 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1334 Down - Peer closing down the session (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Aug  4 10:41:32.408 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1332 Down - Peer closing down the session (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Aug  4 10:41:32.408 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1338 Down - Peer closing down the session (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Aug  4 10:41:32.408 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1336 Down - Peer closing down the session (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Aug  4 10:42:02.575 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.32 Up (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Aug  4 10:42:02.691 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.38 Up (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Aug  4 10:42:03.070 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1336 Up (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Aug  4 10:42:03.650 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1334 Up (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Aug  4 10:42:12.169 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1338 Up (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Aug  4 10:42:13.797 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.34 Up (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Aug  4 10:42:17.139 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.36 Up (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Aug  4 10:42:22.452 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1332 Up (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Aug  4 10:51:38.987 : SSHD_[68177]: %SECURITY-SSHD-6-INFO_SUCCESS_COMMAND : Successfully authenticated user 'admin' from '10.200.96.148' on 'vty0'(cipher 'aes128-ctr', mac 'hmac-sha2-256', command 'show logging') 
RP/0/RP0/CPU0:Aug  4 10:51:39.489 : SSHD_[68177]: %SECURITY-SSHD-6-INFO_USER_LOGOUT : User 'admin' from '10.200.96.148' logged out on 'vty0' 
RP/0/RP0/CPU0:Aug  4 10:53:20.235 : SSHD_[68234]: %SECURITY-SSHD-6-INFO_SUCCESS_COMMAND : Successfully authenticated user 'admin' from '10.200.96.148' on 'vty0'(cipher 'aes128-ctr', mac 'hmac-sha2-256', command 'show logging') 
