

Fri Aug  4 10:53:24.742 PDT
Syslog logging: enabled (0 messages dropped, 0 flushes, 0 overruns)
    Console logging: level warnings, 620 messages logged
    Monitor logging: level informational, 0 messages logged
    Trap logging: level informational, 0 messages logged
    Buffer logging: level debugging, 334 messages logged

Log Buffer (2097152 bytes):

RP/0/RP0/CPU0:Aug  4 10:14:53.962 : SSHD_[68398]: %SECURITY-SSHD-6-INFO_USER_LOGOUT : User 'admin' from '10.200.96.148' logged out on 'vty0' 
RP/0/RP0/CPU0:Aug  4 10:19:44.207 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.1 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65021) 
RP/0/RP0/CPU0:Aug  4 10:19:44.207 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.3 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65021) 
RP/0/RP0/CPU0:Aug  4 10:19:44.207 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.5 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65021) 
RP/0/RP0/CPU0:Aug  4 10:19:44.207 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.7 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65021) 
RP/0/RP0/CPU0:Aug  4 10:19:44.209 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1203 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65021) 
RP/0/RP0/CPU0:Aug  4 10:19:44.209 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1201 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65021) 
RP/0/RP0/CPU0:Aug  4 10:19:44.209 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1205 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65021) 
RP/0/RP0/CPU0:Aug  4 10:19:44.214 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1207 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65021) 
RP/0/RP0/CPU0:Aug  4 10:20:11.700 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.3 Up (VRF: default) (AS: 65021) 
RP/0/RP0/CPU0:Aug  4 10:20:12.497 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.1 Up (VRF: default) (AS: 65021) 
RP/0/RP0/CPU0:Aug  4 10:20:13.995 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1207 Up (VRF: default) (AS: 65021) 
RP/0/RP0/CPU0:Aug  4 10:20:14.882 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.7 Up (VRF: default) (AS: 65021) 
RP/0/RP0/CPU0:Aug  4 10:20:15.398 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.5 Up (VRF: default) (AS: 65021) 
RP/0/RP0/CPU0:Aug  4 10:20:22.070 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1203 Up (VRF: default) (AS: 65021) 
RP/0/RP0/CPU0:Aug  4 10:20:28.824 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1201 Up (VRF: default) (AS: 65021) 
RP/0/RP0/CPU0:Aug  4 10:20:32.922 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1205 Up (VRF: default) (AS: 65021) 
RP/0/RP0/CPU0:Aug  4 10:22:02.401 : SSHD_[68550]: %SECURITY-SSHD-6-INFO_SUCCESS_COMMAND : Successfully authenticated user 'admin' from '10.200.96.148' on 'vty0'(cipher 'aes128-ctr', mac 'hmac-sha2-256', command 'show logging') 
